Optimizer,Split,Horizon,MSE,RMSE,MAE,R2,Pearson,Variance,StdDev,TargetVariance,TargetStdDev,D_latent,H_cell,CDI,SDI,TrainTimeSec,FinalTrainLoss,Fold_N_TOP_GENES,Fold_GENE_EMB_DIM,MSE_std,RMSE_std,MAE_std,R2_std,Pearson_std,Variance_std,StdDev_std,TargetVariance_std,TargetStdDev_std,D_latent_std,H_cell_std,CDI_std,SDI_std,Fold_N_TOP_GENES_std,Fold_GENE_EMB_DIM_std
ASGDAMSGrad,Test,1,0.03885539968808492,0.1744242036230874,0.12683680580819354,0.8072404976919586,0.9088325056148348,0.0371352170495426,0.17092645865737224,0.5407477617263794,0.7350823879241943,11.428422927856445,0.7468016709626448,2.711395597457886,0.9847746640238474,20.57548623085022,0.018296445488998985,2000.0,500.0,0.09104490414492142,0.09184173715852305,0.06303972216261829,0.07274391850747333,0.034669219996004856,0.0859403883721846,0.08900825637497595,0.029688846581597306,0.020045188738732782,0.34928021650480623,0.047449834463680174,0.0956220469967841,0.016216260359934405,0.0,0.0
ASGDAMSGrad,Test,3,0.6789740220457315,0.6422650225156776,0.5137248262178664,-1.4290746723203098,0.07245239163328676,0.5469886260099855,0.5783547294782657,0.5403941631317138,0.7348421692848206,11.400789070129395,0.7478766051588145,2.70888237953186,1.6426004760611175,30.636029481887817,0.019110224880033014,2000.0,500.0,3.180988284568016,0.5163082430112219,0.4278199496864402,1.1458134530049735,0.31850945135916575,2.6130210266258667,0.4610616033077003,0.029674885389086286,0.020032413434670687,0.3555378108393542,0.04537093524093525,0.09640478436820404,0.02566794298208789,0.0,0.0
ASGDAMSGrad,Test,5,0.17778660360431553,0.34439202997914037,0.26272247249297065,0.23869569208107744,0.6950133332510158,0.1583353105859429,0.3265369367541051,0.5393337488174439,0.7341180324554444,11.351876831054687,0.75108829782592,2.7035522937774656,2.093549273000036,41.44776048660278,0.02420186592727501,2000.0,500.0,0.6538368015597517,0.24331861935878046,0.19058760530053476,0.41837577952294713,0.14594437415908038,0.5782640785267393,0.22744059628421207,0.029826592502096804,0.02011489475907584,0.3930696044769699,0.04685926767456441,0.10180434659554573,0.03279577219754002,0.0,0.0
ASGDAMSGrad,Test,10,0.0893156432842507,0.251465540507164,0.18670284016459596,0.5749117380731246,0.8243589651477073,0.08279184632660712,0.24242280881778866,0.5363615989685059,0.7320785522460938,11.241281509399414,0.7460698984985792,2.6761375427246095,2.8988949485930715,72.8885018825531,0.029322988233776322,2000.0,500.0,0.30676519130586927,0.16152695431265268,0.11968774019746392,0.26431115633921365,0.10525444697732703,0.286882669400892,0.15502403958748762,0.030492070453443515,0.020561401435772574,0.5064771698892866,0.04292389742562354,0.13449528933984464,0.057749120469796106,0.0,0.0
ASGDAMSGrad,Test,20,0.08241401535769304,0.24624648972200922,0.1839211320292716,0.5944278113982256,0.8171671356052468,0.07392850120789281,0.23554711887065102,0.543481421470642,0.7369131326675415,11.174761962890624,0.7424740657596137,2.5979073524475096,4.0003742844331915,135.27399401664735,0.057591302067352426,2000.0,500.0,0.23580458664255635,0.14759818726097426,0.11034023829780523,0.2136907083757222,0.10306359534720214,0.20209643655675213,0.13584289692458104,0.031002722118428024,0.02099124757800345,0.519665833343508,0.038143143473307155,0.25270030374787056,0.1566965249138064,0.0,0.0
ASGDAMSGrad,Train,1,0.018198770906995326,0.12543870548982433,0.09802696233870936,0.9166287826556786,0.9574928612340549,0.018125851786896293,0.12515907048886898,0.6794537305831909,0.8240599870681763,12.406536293029784,0.6991711780900554,2.244592046737671,0.940996919383952,20.57548623085022,0.018296445488998985,2000.0,500.0,0.029420177415759655,0.04964744391410186,0.03753634296451827,0.03122950285761988,0.01634853992560799,0.0293621114065288,0.04961879064639832,0.03242059724781289,0.019467741975663973,0.34024541360232263,0.036702248823196525,0.10509608604551662,0.015687224379458086,0.0,0.0
ASGDAMSGrad,Train,3,0.7627453162272771,0.6880432663791056,0.544435116677892,-1.2571718614007912,0.08978716890529494,0.6224618843153996,0.6237207441528638,0.6794238686561584,0.8240414023399353,12.386098861694336,0.695049620767498,2.2465583801269533,1.5541519922052103,30.636029481887817,0.019110224880033014,2000.0,500.0,3.39689694025363,0.5380104940396095,0.4373863881268122,1.0218735316595982,0.3069321863438988,2.799702858604921,0.48324517517532156,0.03245594747617435,0.01948795262175583,0.3535943394922322,0.03829488283147328,0.10535529953139382,0.026527285247525467,0.0,0.0
ASGDAMSGrad,Train,5,0.18983662307043286,0.3555939122190141,0.27102424942979625,0.35264661940873837,0.7176100367878016,0.1713329040113033,0.33943437845099206,0.6787854194641113,0.8236500501632691,12.351196479797363,0.7000959935904868,2.2458961486816404,1.978461833260289,41.44776048660278,0.02420186592727501,2000.0,500.0,0.7075253598358656,0.251822280744414,0.19698572728007413,0.3374750253685296,0.13714651805103112,0.6339558275320826,0.23693716896479353,0.03272175027063927,0.019651446842301593,0.38361200082008645,0.03770945792363914,0.10564042132955552,0.030688241163809405,0.0,0.0
ASGDAMSGrad,Train,10,0.0790760459487929,0.23781628301991678,0.17954341285953335,0.6856679220526826,0.8579335698769888,0.07422426094027126,0.23120047544731814,0.6758492827415467,0.8218366622924804,12.245611000061036,0.6949156828438866,2.238765335083008,2.7396227750502575,72.8885018825531,0.029322988233776322,2000.0,500.0,0.3198580223745556,0.15009429071522815,0.11443110230759247,0.23189535872964398,0.10201425571534227,0.2990517503193328,0.14414836084031998,0.034622223907567994,0.020831823544498803,0.504614939345933,0.038407992423074945,0.10602468612206743,0.042756646791068595,0.0,0.0
ASGDAMSGrad,Train,20,0.07033108661060825,0.2371875751669199,0.1779018901639125,0.6939937617264542,0.8467197967045315,0.06658133248926378,0.23186862047396453,0.6778172373771667,0.823058259487152,12.156589698791503,0.6931263532231069,2.2147363662719726,3.8047104093970328,135.27399401664735,0.057591302067352426,2000.0,500.0,0.1602355390237646,0.11865353699281009,0.08897063886251065,0.14510442670413365,0.08400627552563449,0.14516602930365508,0.11324002761980975,0.03298463164061772,0.019811543901232007,0.5863969442076878,0.036038508783487126,0.12181374547744303,0.08939120410851786,0.0,0.0
